ID,name,author,songURL,fileVersion,storeID,price,starsToUnlock,maxBPM,tickPerTile,speedModifier,speedPerStar,type
1,We wish you a merry christmas,Folk Songs,http://45.77.248.145/TikTokNoWaterMark/public/Midi/navada.mid,0,christmas,15,101,200,216,1,,0
2,Twinkle twinkle,Folk songs,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/twinkle.mid,5,twinkle,0,0,800,1024,1,,0
3,Cat waltz,Various Artist,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/cat+waltz.mid,3,cat,0,0,400,60,1,,0
4,Auld lang syne,Folk songs,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/AuldLangSyne.mid,1,auldlangsyne,15,5,300,236,1,,0
5,Canon in d easy,Pachelbell,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/canon-easy.mid,6,cannonind,15,6,300,236,1,,0
6,The beginning,Ryan Arcand,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/The+Beginning.mid,2,thebgn,30,-1,188,48,1.2,,0
7,The spirit tree,Ori,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/The+Spirit+Tree.mid,5,spirit2,30,12,222,480,1,,0
8,Canon in D,Pachelbell,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/canon.mid,3,cannonind2,15,17,180,119,1,,0
9,The entertainer,Scott Joplin,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/The+Etertainer.mid,3,theetertainer,15,18,320,118,1,,0
10,Katyusha,Matvei Blanter,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Katyusha+-+Matvei+Blanter.mid,3,katyu,15,23,320,239,1,,0
11,River flows in you,Yiruma,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/riverflowsinyou.mid,8,riverflowsinyou,30,-1,270,108,1,,0
12,Kiss the rain,Yiruma,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/kiss+the+rain+-+yiruma.mid,6,kiss,30,26,270,108,1,,0
13,Minuet in G,Bach,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/minuet+in+G.mid,6,minuet,15,28,240,127,1,,1
14,Howl's moving castle,Various Artist,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/howl+moving+castle.mid,6,howl,45,-1,240,40,1,,0
15,Hungarian sonata,Richard Clayderman,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Hungarian+Sonata.mid,1,hunga,15,33,195,119,1,,0
16,From the beginning until now,Ryu,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/From+The+beginning+until+now-ryu.mid,0,from,15,36,240,239,1,,0
17,For Elise,Beethoven,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/for+elise.mid,3,forelise,15,38,225,119,1,,0
18,Marriage d'amour,Richard Clayderman,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Marriage+Damour.mid,7,Marri,15,41,216,30,1,,0
19,A comme amour,Richard Clayderman,https://s3.amazonaws.com/pianochallengetest/Song/A+Comme+Amour.mid,2,Acomme,15,43,136,118,1,,0
20,Proud of you,Fiona Fung,https://s3.amazonaws.com/pianochallengetest/Song/Proud+of+you.mid,1,proud,15,46,300,356,1,,0
21,Eyes on me,Faye Wong,https://s3.amazonaws.com/pianochallengetest/Song/Eyes+on+me.mid,1,eyes,60,-1,200,480,1,,0
22,Castle in the sky,Laputa,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Castle+In+The+Sky.mid,5,laputa,15,51,192,240,1,,0
23,Song from secret garden,Secret Garden,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Song+from+secret+garden.mid,3,songfr,15,53,126,237,1,,0
24,Isn’t it beautiful (Suteki da ne),Rikki,https://s3.amazonaws.com/pianochallengetest/Song/Suteki+Dane.mid,4,suteki,15,56,124,240,1,,0
25,Always with me,Spirited Away,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Always+with+me.mid,1,alway,15,58,180,90,1,,0
26,A town with the ocean view,Kiki's Delivery Service,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/A+Town+With+The+Ocean+View.mid,1,kiki,15,61,186,512,1,,1
27,One summer's day,Joe Hisaishi,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/One+Summer+Day.mid,4,onesum,45,-1,160,47,1,,0
28,Alla turca (Turkish march),Wolfgang Amadeus Mozart,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Alla+turca.mid,2,Turca,15,66,270,120,1,,0
29,Beautiful in white,Shane Filan,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/beautiful+in+white.mid,0,beauti,15,68,215,47,1,,0
30,Wind of life,Joe Hisaishi,https://s3-ap-southeast-1.amazonaws.com/pianochallenge/Song/Wind+Of+Life.mid,2,spring,15,71,400,238,1,,0
